train_loss,epoch,step,val_acc,val_loss,test_acc,train_acc
0.9102760553359985,82,25749,,,,
0.8278965950012207,82,25799,,,,
0.7879067063331604,82,25849,,,,
,82,25895,0.5170000195503235,1.733258843421936,,
,82,25895,,,0.7376000285148621,0.5235376358032227
0.5450460910797119,83,25899,,,,
0.530509889125824,83,25949,,,,
0.6731464862823486,83,25999,,,,
0.653872549533844,83,26049,,,,
0.37083443999290466,83,26099,,,,
0.48589634895324707,83,26149,,,,
0.592751145362854,83,26199,,,,
,83,26207,0.46810001134872437,2.0875957012176514,,
,83,26207,,,0.6700999736785889,0.5242387652397156
0.9847245216369629,84,26249,,,,
0.7089868783950806,84,26299,,,,
0.5037624835968018,84,26349,,,,
0.570341169834137,84,26399,,,,
0.42899376153945923,84,26449,,,,
-0.2139013558626175,84,26499,,,,
,84,26519,0.5098000168800354,1.993078351020813,,
