step,train_loss,epoch,val_loss,val_acc,test_acc,train_acc
22099,0.4320942461490631,70,,,,
22149,0.8028662204742432,70,,,,
22151,,70,0.9870984554290771,0.743399977684021,,
22151,,70,,,0.8546000123023987,0.8555188179016113
22199,0.4292553663253784,71,,,,
22249,0.40051719546318054,71,,,,
22299,0.5261796116828918,71,,,,
22349,0.553326427936554,71,,,,
22399,0.6660046577453613,71,,,,
22449,0.4784899353981018,71,,,,
22463,,71,0.9858059287071228,0.7530999779701233,,
22463,,71,,,0.8666999936103821,0.8580979704856873
22499,0.2799207866191864,72,,,,
22549,0.4813494384288788,72,,,,
22599,0.4233013093471527,72,,,,
22649,0.4748312830924988,72,,,,
22699,0.8353806734085083,72,,,,
22749,0.6492586731910706,72,,,,
22775,,72,0.9999817609786987,0.7465999722480774,,
22775,,72,,,0.8586999773979187,0.8593499660491943
22799,0.3625947833061218,73,,,,
22849,0.42886948585510254,73,,,,
22899,0.39157038927078247,73,,,,
22949,0.6066757440567017,73,,,,
22999,0.4536174535751343,73,,,,
23049,0.38748034834861755,73,,,,
23087,,73,1.0207754373550415,0.7383999824523926,,
23087,,73,,,0.8508999943733215,0.8640324473381042
23099,0.5864796042442322,74,,,,
23149,0.44674059748649597,74,,,,
23199,0.38948240876197815,74,,,,
23249,0.4578368365764618,74,,,,
23299,0.43730854988098145,74,,,,
23349,0.5786945819854736,74,,,,
23399,0.4678390324115753,74,,,,
23399,,74,1.048411250114441,0.7383000254631042,,
23399,,74,,,0.8503000140190125,0.8652844429016113
23449,0.5152158737182617,75,,,,
23499,0.4195214807987213,75,,,,
23549,0.5044556260108948,75,,,,
23599,0.5069615840911865,75,,,,
23649,0.4781780242919922,75,,,,
23699,0.527862548828125,75,,,,
23711,,75,1.0608183145523071,0.7371000051498413,,
23711,,75,,,0.8422999978065491,0.8661859035491943
23749,0.45245590806007385,76,,,,
23799,0.47765183448791504,76,,,,
23849,0.44304561614990234,76,,,,
23899,0.34154510498046875,76,,,,
23949,0.6142830848693848,76,,,,
23999,0.4630969762802124,76,,,,
24023,,76,1.0557870864868164,0.739799976348877,,
24023,,76,,,0.8378000259399414,0.868239164352417
24049,0.49949201941490173,77,,,,
24099,0.45310860872268677,77,,,,
24149,0.3815757632255554,77,,,,
24199,0.35695376992225647,77,,,,
24249,0.4610477089881897,77,,,,
24299,0.44628405570983887,77,,,,
24335,,77,1.1541531085968018,0.7132999897003174,,
24335,,77,,,0.8174999952316284,0.8727464079856873
24349,0.35730379819869995,78,,,,
24399,0.4356716573238373,78,,,,
24449,0.39520105719566345,78,,,,
24499,0.43688303232192993,78,,,,
24549,0.4283181428909302,78,,,,
24599,0.5088916420936584,78,,,,
24647,,78,1.1457781791687012,0.722599983215332,,
24647,,78,,,0.8325999975204468,0.8718449473381042
24649,0.22864139080047607,79,,,,
24699,0.42072755098342896,79,,,,
24749,0.5027540922164917,79,,,,
24799,0.5653026700019836,79,,,,
24849,0.33071523904800415,79,,,,
24899,0.5308809280395508,79,,,,
24949,0.385699599981308,79,,,,
