step,epoch,train_loss,val_acc2,val_acc1,test_acc,train_acc1,train_acc2
15649,50,0.2675224840641022,,,,,
15699,50,0.24524110555648804,,,,,
15749,50,0.27022281289100647,,,,,
15799,50,0.27626755833625793,,,,,
15849,50,0.25074997544288635,,,,,
15899,50,0.3152214586734772,,,,,
15911,50,,0.4025999903678894,0.384799987077713,,,
15911,50,,,,0.4338409900665283,0.40484777092933655,0.4049980044364929
15949,51,0.26939842104911804,,,,,
15999,51,0.314130038022995,,,,,
16049,51,0.2927202582359314,,,,,
16099,51,0.2577299475669861,,,,,
16149,51,0.25131848454475403,,,,,
16199,51,0.27034667134284973,,,,,
16223,51,,0.4239000082015991,0.40299999713897705,,,
16223,51,,,,0.4270173907279968,0.4067007303237915,0.40727663040161133
16249,52,0.3082920014858246,,,,,
16299,52,0.26995691657066345,,,,,
16349,52,0.28477686643600464,,,,,
16399,52,0.3872775137424469,,,,,
16449,52,0.30374157428741455,,,,,
16499,52,0.3048013746738434,,,,,
16535,52,,0.4223000109195709,0.41530001163482666,,,
16535,52,,,,0.44709256291389465,0.3870943486690521,0.38987380266189575
16549,53,0.2907128632068634,,,,,
16599,53,0.31567898392677307,,,,,
16649,53,0.2914249897003174,,,,,
16699,53,0.31502577662467957,,,,,
16749,53,0.2738325893878937,,,,,
16799,53,0.2771998345851898,,,,,
16847,53,,0.3756999969482422,0.3921000063419342,,,
16847,53,,,,0.4130735695362091,0.3903495669364929,0.39470651745796204
16849,54,0.30097874999046326,,,,,
16899,54,0.23503053188323975,,,,,
16949,54,0.28333020210266113,,,,,
16999,54,0.32368582487106323,,,,,
17049,54,0.27813148498535156,,,,,
17099,54,0.28304970264434814,,,,,
17149,54,0.3005472719669342,,,,,
17159,54,,0.4092000126838684,0.3986999988555908,,,
17159,54,,,,0.4186115562915802,0.39938902854919434,0.4000650942325592
17199,55,0.29096585512161255,,,,,
17249,55,0.2596163749694824,,,,,
17299,55,0.3564828336238861,,,,,
17349,55,0.2736489474773407,,,,,
17399,55,0.30921730399131775,,,,,
17449,55,0.27821800112724304,,,,,
17471,55,,0.37560001015663147,0.397599995136261,,,
17471,55,,,,0.41752374172210693,0.3944060504436493,0.3934294879436493
17499,56,0.28969913721084595,,,,,
17549,56,0.305838406085968,,,,,
17599,56,0.32958924770355225,,,,,
17649,56,0.2631863057613373,,,,,
17699,56,0.2677663266658783,,,,,
17749,56,0.3253459930419922,,,,,
17783,56,,0.42250001430511475,0.4106000065803528,,,
17783,56,,,,0.4462025463581085,0.3990134298801422,0.39691004157066345
17799,57,0.2841535210609436,,,,,
17849,57,0.3402891755104065,,,,,
17899,57,0.27219685912132263,,,,,
17949,57,0.3051196038722992,,,,,
17999,57,0.26582062244415283,,,,,
18049,57,0.2522156536579132,,,,,
18095,57,,0.4050000011920929,0.3905999958515167,,,
18095,57,,,,0.43631330132484436,0.3954326808452606,0.3944060504436493
18099,58,0.2727121114730835,,,,,
18149,58,0.28358760476112366,,,,,
18199,58,0.30607518553733826,,,,,
18249,58,0.29345056414604187,,,,,
18299,58,0.23598693311214447,,,,,
18349,58,0.34767740964889526,,,,,
18399,58,0.2508769631385803,,,,,
18407,58,,0.4205999970436096,0.43540000915527344,,,
18407,58,,,,0.45332279801368713,0.40387120842933655,0.4045723080635071
18449,59,0.28490668535232544,,,,,
18499,59,0.30226585268974304,,,,,
18549,59,0.304371178150177,,,,,
18599,59,0.28535035252571106,,,,,
18649,59,0.30527809262275696,,,,,
18699,59,0.3347960412502289,,,,,
18719,59,,0.4171999990940094,0.4049000144004822,,,
18719,59,,,,0.4293908178806305,0.4189453125,0.4205729067325592
18749,60,0.27538153529167175,,,,,
18799,60,0.284912645816803,,,,,
18849,60,0.24436776340007782,,,,,
18899,60,0.2148887813091278,,,,,
18949,60,0.2357761412858963,,,,,
18999,60,0.21059361100196838,,,,,
19031,60,,0.4629000127315521,0.461899995803833,,,
19031,60,,,,0.47438687086105347,0.4300130307674408,0.43113982677459717
19049,61,0.22223882377147675,,,,,
19099,61,0.20210030674934387,,,,,
19149,61,0.20605109632015228,,,,,
19199,61,0.22400978207588196,,,,,
19249,61,0.23758667707443237,,,,,
19299,61,0.20879621803760529,,,,,
19343,61,,0.4724000096321106,0.47040000557899475,,,
19343,61,,,,0.48318830132484436,0.4479667544364929,0.44781652092933655
19349,62,0.2199375182390213,,,,,
19399,62,0.2451661229133606,,,,,
19449,62,0.20477713644504547,,,,,
