step,train_loss,epoch,val_acc,test_acc,train_acc
25449,-0.43788477778434753,81,,,
25499,-0.4390220046043396,81,,,
25549,-0.44116339087486267,81,,,
25583,,81,0.7678999900817871,,
25583,,81,,0.895799994468689,0.8185346722602844
25599,-0.45865190029144287,82,,,
25649,-0.4415369927883148,82,,,
25699,-0.45097556710243225,82,,,
25749,-0.4470854103565216,82,,,
25799,-0.45904695987701416,82,,,
25849,-0.4166719317436218,82,,,
25895,,82,0.7681000232696533,,
25895,,82,,0.8967000246047974,0.8182341456413269
25899,-0.4204500615596771,83,,,
25949,-0.4563543498516083,83,,,
25999,-0.44162893295288086,83,,,
26049,-0.41025876998901367,83,,,
26099,-0.448906272649765,83,,,
26149,-0.44351643323898315,83,,,
26199,-0.3952275216579437,83,,,
26207,,83,0.7685999870300293,,
26207,,83,,0.8949999809265137,0.8191105723381042
26249,-0.48029205203056335,84,,,
26299,-0.4875316023826599,84,,,
26349,-0.4038510024547577,84,,,
26399,-0.4257129430770874,84,,,
26449,-0.47471868991851807,84,,,
26499,-0.4579364061355591,84,,,
26519,,84,0.7692999839782715,,
26519,,84,,0.8934000134468079,0.8198367357254028
26549,-0.4284692704677582,85,,,
26599,-0.4232126474380493,85,,,
26649,-0.4153057336807251,85,,,
26699,-0.43174630403518677,85,,,
26749,-0.4246114492416382,85,,,
26799,-0.4071968197822571,85,,,
26831,,85,0.7674999833106995,,
26831,,85,,0.8930000066757202,0.8208132982254028
26849,-0.4066730737686157,86,,,
26899,-0.428883820772171,86,,,
26949,-0.42854270339012146,86,,,
26999,-0.42573076486587524,86,,,
27049,-0.45452916622161865,86,,,
27099,-0.41862350702285767,86,,,
27143,,86,0.7674999833106995,,
27143,,86,,0.894599974155426,0.820387601852417
27149,-0.40960830450057983,87,,,
27199,-0.4167809784412384,87,,,
27249,-0.45199817419052124,87,,,
27299,-0.41321131587028503,87,,,
27349,-0.4453084468841553,87,,,
27399,-0.395489364862442,87,,,
27449,-0.4240654706954956,87,,,
27455,,87,0.7670000195503235,,
27455,,87,,0.8935999870300293,0.8210386633872986
27499,-0.44062259793281555,88,,,
27549,-0.4249335527420044,88,,,
27599,-0.43873363733291626,88,,,
27649,-0.42171502113342285,88,,,
27699,-0.4332602024078369,88,,,
27749,-0.44386976957321167,88,,,
27767,,88,0.7680000066757202,,
27767,,88,,0.8945000171661377,0.8219150900840759
27799,-0.47658106684684753,89,,,
27849,-0.447342187166214,89,,,
27899,-0.4175551235675812,89,,,
27949,-0.4732361435890198,89,,,
27999,-0.4196244776248932,89,,,
28049,-0.43605002760887146,89,,,
28079,,89,0.7663999795913696,,
28079,,89,,0.8952000141143799,0.8210386633872986
28099,-0.4600622057914734,90,,,
28149,-0.4170195758342743,90,,,
28199,-0.43675553798675537,90,,,
28249,-0.44998350739479065,90,,,
