epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
52,,16535,0.7932000160217285,1.4903302192687988,,
52,,16535,,,0.8208383321762085,0.8309000134468079
53,-13.115622520446777,16549,,,,
53,-14.091209411621094,16599,,,,
53,-12.97907543182373,16649,,,,
53,-12.33154582977295,16699,,,,
53,-13.176409721374512,16749,,,,
53,-13.820749282836914,16799,,,,
53,,16847,0.819100022315979,1.2716636657714844,,
53,,16847,,,0.8376902937889099,0.8632000088691711
54,-13.873422622680664,16849,,,,
54,-13.885645866394043,16899,,,,
54,-12.93832015991211,16949,,,,
54,-13.21426773071289,16999,,,,
54,-13.47380256652832,17049,,,,
54,-12.969857215881348,17099,,,,
54,-13.730228424072266,17149,,,,
54,,17159,0.8356000185012817,1.1558338403701782,,
54,,17159,,,0.8494340777397156,0.8877000212669373
55,-14.605171203613281,17199,,,,
55,-13.082093238830566,17249,,,,
55,-13.877779960632324,17299,,,,
55,-15.734331130981445,17349,,,,
55,-15.701199531555176,17399,,,,
55,-14.082075119018555,17449,,,,
55,,17471,0.8442999720573425,1.0574448108673096,,
55,,17471,,,0.8600761294364929,0.8956000208854675
56,-13.873944282531738,17499,,,,
56,-14.58195686340332,17549,,,,
56,-14.34454345703125,17599,,,,
56,-15.286140441894531,17649,,,,
56,-14.469112396240234,17699,,,,
56,-15.122408866882324,17749,,,,
56,,17783,0.8533999919891357,1.0325425863265991,,
56,,17783,,,0.8708433508872986,0.9013000130653381
57,-15.082191467285156,17799,,,,
57,-14.565142631530762,17849,,,,
57,-14.433773040771484,17899,,,,
57,-12.968713760375977,17949,,,,
57,-15.595230102539062,17999,,,,
57,-15.401585578918457,18049,,,,
57,,18095,0.853600025177002,1.0103663206100464,,
57,,18095,,,0.8783053159713745,0.9078999757766724
58,-14.56827163696289,18099,,,,
58,-15.75677490234375,18149,,,,
58,-14.77690315246582,18199,,,,
58,-15.944397926330566,18249,,,,
58,-15.288741111755371,18299,,,,
58,-15.788226127624512,18349,,,,
58,-13.625248908996582,18399,,,,
58,,18407,0.8568000197410583,1.0175296068191528,,
58,,18407,,,0.8835386633872986,0.9110999703407288
59,-15.544361114501953,18449,,,,
59,-16.071260452270508,18499,,,,
59,-14.799179077148438,18549,,,,
59,-16.145780563354492,18599,,,,
59,-16.21591567993164,18649,,,,
59,-14.773212432861328,18699,,,,
59,,18719,0.8585000038146973,1.000133752822876,,
59,,18719,,,0.8875450491905212,0.909500002861023
60,-14.921391487121582,18749,,,,
60,-13.343008041381836,18799,,,,
60,-13.48654842376709,18849,,,,
60,-12.541630744934082,18899,,,,
60,-11.648174285888672,18949,,,,
60,-13.916037559509277,18999,,,,
60,,19031,0.7538999915122986,1.878790259361267,,
60,,19031,,,0.80859375,0.7889000177383423
61,-13.050155639648438,19049,,,,
61,-13.105913162231445,19099,,,,
61,-12.77487564086914,19149,,,,
61,-14.683688163757324,19199,,,,
61,-12.47868824005127,19249,,,,
61,-13.026785850524902,19299,,,,
61,,19343,0.7716000080108643,1.7651238441467285,,
61,,19343,,,0.8110476732254028,0.8131999969482422
62,-13.193503379821777,19349,,,,
62,-11.669103622436523,19399,,,,
62,-12.993268966674805,19449,,,,
62,-13.888321876525879,19499,,,,
62,-13.530077934265137,19549,,,,
62,-14.58006477355957,19599,,,,
62,-12.553200721740723,19649,,,,
62,,19655,0.7968999743461609,1.5088945627212524,,
62,,19655,,,0.8267477750778198,0.8429999947547913
63,-14.722407341003418,19699,,,,
63,-13.020209312438965,19749,,,,
63,-14.469221115112305,19799,,,,
63,-13.192829132080078,19849,,,,
63,-13.332023620605469,19899,,,,
63,-14.763463020324707,19949,,,,
63,,19967,0.8212000131607056,1.273371696472168,,
63,,19967,,,0.8426733016967773,0.8690999746322632
64,-13.823468208312988,19999,,,,
64,-14.284847259521484,20049,,,,
64,-13.524389266967773,20099,,,,
64,-13.91796875,20149,,,,
64,-15.082712173461914,20199,,,,
64,-13.314804077148438,20249,,,,
64,,20279,0.833899974822998,1.1563982963562012,,
64,,20279,,,0.8551933169364929,0.8858000040054321
65,-14.364962577819824,20299,,,,
65,-14.803780555725098,20349,,,,
65,-14.439798355102539,20399,,,,
65,-13.984339714050293,20449,,,,
65,-14.327896118164062,20499,,,,
65,-13.460261344909668,20549,,,,
65,,20591,0.8453999757766724,1.1253767013549805,,
65,,20591,,,0.8657602071762085,0.8964999914169312
66,-14.964155197143555,20599,,,,
66,-14.477265357971191,20649,,,,
66,-14.320196151733398,20699,,,,
66,-13.495451927185059,20749,,,,
66,-14.359512329101562,20799,,,,
66,-15.691448211669922,20849,,,,
66,-14.6182279586792,20899,,,,
66,,20903,0.8510000109672546,1.0481680631637573,,
66,,20903,,,0.8738481402397156,0.9027000069618225
67,-15.784127235412598,20949,,,,
67,-14.851264953613281,20999,,,,
67,-15.439831733703613,21049,,,,
67,-14.916748046875,21099,,,,
67,-15.114198684692383,21149,,,,
67,-14.67818832397461,21199,,,,
67,,21215,0.8557999730110168,0.999558687210083,,
67,,21215,,,0.8810597062110901,0.9093999862670898
68,-15.380414962768555,21249,,,,
68,-15.785953521728516,21299,,,,
68,-15.190482139587402,21349,,,,
68,-14.431962013244629,21399,,,,
68,-15.31265640258789,21449,,,,
68,-14.470321655273438,21499,,,,
68,,21527,0.8572999835014343,0.9979643821716309,,
68,,21527,,,0.8881710767745972,0.9128999710083008
69,-15.051976203918457,21549,,,,
69,-14.10965347290039,21599,,,,
69,-16.319856643676758,21649,,,,
69,-15.987857818603516,21699,,,,
69,-15.253799438476562,21749,,,,
69,-17.09429168701172,21799,,,,
69,,21839,0.8605999946594238,1.00396728515625,,
69,,21839,,,0.8903495669364929,0.9174000024795532
70,-15.860852241516113,21849,,,,
70,-15.474653244018555,21899,,,,
70,-14.065979957580566,21949,,,,
70,-13.894875526428223,21999,,,,
70,-13.509252548217773,22049,,,,
70,-14.776571273803711,22099,,,,
70,-13.878084182739258,22149,,,,
70,,22151,0.7407000064849854,2.0412659645080566,,
70,,22151,,,0.8071163892745972,0.7634000182151794
71,-14.20548152923584,22199,,,,
71,-13.781744956970215,22249,,,,
71,-13.609731674194336,22299,,,,
71,-13.457845687866211,22349,,,,
71,-12.50816822052002,22399,,,,
71,-12.32452392578125,22449,,,,
71,,22463,0.7930999994277954,1.496782660484314,,
71,,22463,,,0.8122496008872986,0.8442999720573425
72,-13.206181526184082,22499,,,,
72,-12.482763290405273,22549,,,,
72,-13.554336547851562,22599,,,,
72,-13.263101577758789,22649,,,,
72,-13.140653610229492,22699,,,,
72,-13.342533111572266,22749,,,,
72,,22775,0.7900000214576721,1.5012797117233276,,
72,,22775,,,0.8278245329856873,0.8324000239372253
73,-13.76204776763916,22799,,,,
73,-13.252967834472656,22849,,,,
73,-13.657453536987305,22899,,,,
73,-11.905908584594727,22949,,,,
73,-14.728409767150879,22999,,,,
73,-14.490934371948242,23049,,,,
73,,23087,0.8208000063896179,1.294933557510376,,
73,,23087,,,0.8443509340286255,0.8654000163078308
74,-13.29054069519043,23099,,,,
74,-13.356620788574219,23149,,,,
74,-13.293750762939453,23199,,,,
74,-13.88813591003418,23249,,,,
74,-14.412007331848145,23299,,,,
74,-14.589096069335938,23349,,,,
74,-14.066978454589844,23399,,,,
74,,23399,0.8338000178337097,1.173384428024292,,
74,,23399,,,0.8552433848381042,0.881600022315979
75,-13.727864265441895,23449,,,,
75,-12.738203048706055,23499,,,,
75,-12.999177932739258,23549,,,,
75,-14.431489944458008,23599,,,,
75,-15.345404624938965,23649,,,,
75,-14.326397895812988,23699,,,,
75,,23711,0.843500018119812,1.1567987203598022,,
75,,23711,,,0.8678886294364929,0.8981000185012817
76,-14.678906440734863,23749,,,,
76,-15.131613731384277,23799,,,,
76,-14.820838928222656,23849,,,,
76,-14.489601135253906,23899,,,,
76,-13.9856595993042,23949,,,,
76,-14.896836280822754,23999,,,,
76,,24023,0.8504999876022339,1.0833793878555298,,
76,,24023,,,0.8767027258872986,0.9043999910354614
77,-15.37222957611084,24049,,,,
77,-14.075121879577637,24099,,,,
77,-15.554224014282227,24149,,,,
77,-14.993861198425293,24199,,,,
77,-15.111969947814941,24249,,,,
77,-14.573663711547852,24299,,,,
77,,24335,0.8601999878883362,1.0207852125167847,,
77,,24335,,,0.8830378651618958,0.9121999740600586
78,-16.39687156677246,24349,,,,
78,-15.238870620727539,24399,,,,
78,-15.197325706481934,24449,,,,
78,-15.060023307800293,24499,,,,
78,-15.087834358215332,24549,,,,
78,-15.443733215332031,24599,,,,
78,,24647,0.8626000285148621,1.0088841915130615,,
78,,24647,,,0.8892227411270142,0.9193000197410583
79,-14.925129890441895,24649,,,,
79,-15.698139190673828,24699,,,,
79,-15.748541831970215,24749,,,,
79,-14.875053405761719,24799,,,,
79,-15.130399703979492,24849,,,,
79,-14.944732666015625,24899,,,,
79,-16.171100616455078,24949,,,,
79,,24959,0.8634999990463257,1.0088151693344116,,
79,,24959,,,0.8921023607254028,0.9154000282287598
80,-13.965571403503418,24999,,,,
80,-13.816417694091797,25049,,,,
80,-13.523274421691895,25099,,,,
80,-13.196016311645508,25149,,,,
80,-14.638130187988281,25199,,,,
80,-13.530683517456055,25249,,,,
80,,25271,0.7554000020027161,1.933046817779541,,
80,,25271,,,0.8133012652397156,0.8001000285148621
81,-15.312483787536621,25299,,,,
81,-14.09620189666748,25349,,,,
81,-13.894502639770508,25399,,,,
81,-14.223974227905273,25449,,,,
81,-13.145736694335938,25499,,,,
81,-13.96985149383545,25549,,,,
81,,25583,0.7811999917030334,1.771832823753357,,
81,,25583,,,0.8159555196762085,0.817799985408783
82,-13.115670204162598,25599,,,,
82,-13.36095142364502,25649,,,,
82,-15.131263732910156,25699,,,,
82,-13.6361665725708,25749,,,,
82,-14.346610069274902,25799,,,,
82,-13.866046905517578,25849,,,,
82,,25895,0.805400013923645,1.4373106956481934,,
82,,25895,,,0.8332832455635071,0.8507999777793884
83,-14.903608322143555,25899,,,,
83,-14.118030548095703,25949,,,,
83,-13.29375171661377,25999,,,,
83,-13.996849060058594,26049,,,,
83,-14.365891456604004,26099,,,,
83,-14.023622512817383,26149,,,,
83,-14.637975692749023,26199,,,,
83,,26207,0.823199987411499,1.3127487897872925,,
83,,26207,,,0.8469050526618958,0.868399977684021
84,-13.874920845031738,26249,,,,
84,-15.290352821350098,26299,,,,
84,-14.423083305358887,26349,,,,
