epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
82,25849,0.20551136136054993,,,,
82,25895,,0.7543835639953613,0.8201000094413757,,
82,25895,,,,0.9449869990348816,0.8569999933242798
83,25899,0.10597842931747437,,,,
83,25949,0.18263062834739685,,,,
83,25999,0.18250307440757751,,,,
83,26049,0.1965053528547287,,,,
83,26099,0.1692417711019516,,,,
83,26149,0.1554088592529297,,,,
83,26199,0.27734407782554626,,,,
83,26207,,0.7916246652603149,0.8235999941825867,,
83,26207,,,,0.9479166865348816,0.870199978351593
84,26249,0.1716441661119461,,,,
84,26299,0.1996409147977829,,,,
84,26349,0.13945558667182922,,,,
84,26399,0.23737049102783203,,,,
84,26449,0.194217249751091,,,,
84,26499,0.1813269853591919,,,,
