step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
16399,79,0.09801379591226578,,,,
16449,79,0.24891330301761627,,,,
16484,79,,2.7316067218780518,0.6294999718666077,,
16484,79,,,,0.9458526968955994,0.5911787748336792
16499,80,0.10780242830514908,,,,
16549,80,0.13651449978351593,,,,
16599,80,0.11157569289207458,,,,
16649,80,0.19677960872650146,,,,
16672,80,,2.7007200717926025,0.6287999749183655,,
16672,80,,,,0.9461020827293396,0.589102029800415
16699,81,0.10748418420553207,,,,
16749,81,0.08129748702049255,,,,
16799,81,0.2511012852191925,,,,
16849,81,0.13916237652301788,,,,
16860,81,,2.6693482398986816,0.6305000185966492,,
16860,81,,,,0.9458526968955994,0.5901898741722107
16899,82,0.20020261406898499,,,,
16949,82,0.10394518077373505,,,,
16999,82,0.21108530461788177,,,,
17049,82,0.17298737168312073,,,,
17049,82,,2.7228381633758545,0.6298999786376953,,
17049,82,,,,0.9479579925537109,0.591969907283783
17099,83,0.10601802170276642,,,,
17149,83,0.09479852020740509,,,,
17199,83,0.10966585576534271,,,,
17236,83,,2.6923656463623047,0.633899986743927,,
17236,83,,,,0.9485712051391602,0.5921677350997925
17249,84,0.1430259793996811,,,,
17299,84,0.1996956467628479,,,,
17349,84,0.21614529192447662,,,,
17399,84,0.22016867995262146,,,,
17426,84,,2.6899309158325195,0.6266000270843506,,
17426,84,,,,0.9449424147605896,0.5979034900665283
17449,85,0.2168428897857666,,,,
17499,85,0.16825458407402039,,,,
17549,85,0.07935524731874466,,,,
17599,85,0.24357034265995026,,,,
17617,85,,2.733670949935913,0.6309000253677368,,
17617,85,,,,0.9496073126792908,0.5942444801330566
17649,86,0.09532910585403442,,,,
17699,86,0.1279771625995636,,,,
17749,86,0.16093987226486206,,,,
17799,86,0.15568262338638306,,,,
17809,86,,2.7735095024108887,0.6298999786376953,,
17809,86,,,,0.9510905146598816,0.598397970199585
17849,87,0.1354580670595169,,,,
17899,87,0.10418923944234848,,,,
17949,87,0.1563921868801117,,,,
17999,87,0.11900482326745987,,,,
18003,87,,2.6790754795074463,0.6334999799728394,,
18003,87,,,,0.9465206265449524,0.5938488841056824
18049,88,0.25940975546836853,,,,
18099,88,0.11824838817119598,,,,
18149,88,0.13244324922561646,,,,
18194,88,,2.6685752868652344,0.6353999972343445,,
18194,88,,,,0.9502208828926086,0.6031447649002075
18199,89,0.10258569568395615,,,,
18249,89,0.1901187002658844,,,,
18299,89,0.15477406978607178,,,,
18349,89,0.2167794108390808,,,,
18387,89,,2.5806899070739746,0.6401000022888184,,
18387,89,,,,0.9486318230628967,0.6095727682113647
18399,90,0.1719985008239746,,,,
18449,90,0.07207515090703964,,,,
18499,90,0.1830676645040512,,,,
18549,90,0.08077166229486465,,,,
18582,90,,2.6595852375030518,0.6305000185966492,,
18582,90,,,,0.9466747045516968,0.6055182218551636
18599,91,0.12419699132442474,,,,
18649,91,0.08231719583272934,,,,
18699,91,0.16321907937526703,,,,
18749,91,0.09568094462156296,,,,
18776,91,,2.638446569442749,0.630299985408783,,
18776,91,,,,0.9484133124351501,0.6034414768218994
18799,92,0.1315075159072876,,,,
18849,92,0.15098747611045837,,,,
18899,92,0.21941061317920685,,,,
18949,92,0.18864834308624268,,,,
18969,92,,2.663912296295166,0.6319000124931335,,
18969,92,,,,0.9470936059951782,0.6004746556282043
18999,93,0.1329490840435028,,,,
19049,93,0.2244952917098999,,,,
19099,93,0.194688618183136,,,,
19149,93,0.09911684691905975,,,,
19162,93,,2.7268941402435303,0.6341999769210815,,
19162,93,,,,0.9510200619697571,0.6046281456947327
19199,94,0.20641553401947021,,,,
19249,94,0.0670447126030922,,,,
19299,94,0.1458442658185959,,,,
19349,94,0.09590789675712585,,,,
19356,94,,2.6590983867645264,0.6338000297546387,,
19356,94,,,,0.9478092789649963,0.6029469966888428
19399,95,0.09349732100963593,,,,
19449,95,0.17218419909477234,,,,
19499,95,0.09689967334270477,,,,
19549,95,0.12004180252552032,,,,
19551,95,,2.620300054550171,0.635200023651123,,
19551,95,,,,0.9475160241127014,0.6029469966888428
19599,96,0.1485544890165329,,,,
19649,96,0.21321579813957214,,,,
19699,96,0.10463967174291611,,,,
19747,96,,2.6060051918029785,0.6424000263214111,,
19747,96,,,,0.949617326259613,0.6118472814559937
19749,97,0.19481578469276428,,,,
19799,97,0.1936119943857193,,,,
19849,97,0.10433018952608109,,,,
19899,97,0.0801365002989769,,,,
19944,97,,2.6793875694274902,0.6359999775886536,,
19944,97,,,,0.9455108046531677,0.6038370132446289
19949,98,0.14050529897212982,,,,
19999,98,0.097741037607193,,,,
20049,98,0.20604227483272552,,,,
20099,98,0.14343032240867615,,,,
20138,98,,2.6695151329040527,0.6384999752044678,,
20138,98,,,,0.9478495717048645,0.6018591523170471
20149,99,0.22916673123836517,,,,
20199,99,0.14166128635406494,,,,
20249,99,0.12434400618076324,,,,
20299,99,0.2009408324956894,,,,
20333,99,,2.6361372470855713,0.6366000175476074,,
20333,99,,,,0.9477964639663696,0.6044303774833679
